name,latitude,longitude,country
Irun,NA,NA,ES
Canfranc,NA,NA,ES
Port-Bou,NA,NA,ES
Port-Bou,NA,NA,ES
Port-Bou,42.424725,3.157847,ES
Latour-de-Carol,NA,NA,ES
Tortosa,40.807197,0.523576,ES
Manzanares-Soto el Real,NA,NA,ES
El Arahal,37.268404,-5.548744,ES
Pinos Puente,37.2511,-3.74967,ES
Albacete-Los Llanos,39.000086,-1.847579,ES
Marchena,37.334322,-5.425466,ES
Lorca Sutullena,37.671687,-1.696264,ES
Osuna,37.23367,-5.114799,ES
Gudillos,40.717089,-4.157717,ES
Pedrera,37.222101,-4.894635,ES
Estepar,NA,NA,ES
Quintanilleja,NA,NA,ES
Loja,37.16887,-4.15129,ES
Loja - San Francisco,37.174944,-4.149825,ES
Navas de Riofrio - La Losa,40.856684,-4.141155,ES
Villanueva de Tapia,NA,NA,ES
Archidona,37.09654,-4.38869,ES
El Pinar,NA,NA,ES
Camorritos,NA,NA,ES
La Maya y Fresno,NA,NA,ES
Antequera Ciudad,37.028276,-4.561063,ES
Puerto de Navacerrada,NA,NA,ES
Calamocha Nueva,40.903354,-1.30028,ES
Bembibre,42.60975,-6.422504,ES
Los Cotos,NA,NA,ES
Toral de los Vados,42.541,-6.776653,ES
San Clodio-Quiroga,42.465122,-7.287231,ES
Las Matas,40.552335,-3.896922,ES
Vega Magaz,42.553585,-6.068347,ES
Valladolid Campo Grande,41.641971,-4.727004,ES
Ciruelos,39.9385333,-3.6148151,ES
Briviesca,42.542555,-3.319194,ES
Vitoria - Gasteiz,42.841213,-2.672618,ES
Zumarraga,43.08705,-2.320025,ES
Linares-Congostinas,43.101244,-5.772243,ES
Irun,NA,NA,ES
Villanueva del Rio y Minas,37.661125,-5.711467,ES
Alcolea del Rio,37.6355,-5.73091,ES
Pola de Lena,43.16089,-5.828784,ES
Palencia,42.01585,-4.533826,ES
Sahagun,42.36954,-5.022291,ES
Riaza,41.27826,-3.47787,ES
Lerma,42.0254298,-3.7600156,ES
Villalba de Guadarrama,40.626424,-4.00811,ES
Reinosa,42.994021,-4.140934,ES
Ponferrada,42.545576,-6.60263,ES
A Rua-Petin,42.392561,-7.11329,ES
Monforte de Lemos,42.52953,-7.503215,ES
Navalperal,40.590431,-4.408328,ES
Las Fraguas,43.192,-4.05336,ES
Alegria de Alava-Dulantzi,42.849025,-2.514291,ES
Oviedo,43.366237,-5.855339,ES
Salvatierra de Alava,42.846319,-2.388748,ES
Valcabado,NA,NA,ES
Guitiriz,43.179019,-7.895108,ES
Olazagutia,42.8756437,-2.1970912,ES
Guarnizo,43.3915,-3.85948,ES
Boo,43.410417,-3.841458,ES
Maliano,43.416136,-3.841854,ES
Ourense-Empalme,42.350627,-7.872743,ES
Salvaterra de Mino,42.081678,-8.49521,ES
Herradon - La Canada,40.599231,-4.494876,ES
Navalgrande,NA,NA,ES
Guimorcondo,40.648915,-4.615124,ES
Zegama - Otzaurte,42.9395,-2.26371,ES
Zamora,41.515987,-5.739909,ES
O Irixo,42.519273,-8.104917,ES
Pobra de San Xian,42.865761,-7.446868,ES
Lajosa,NA,NA,ES
Toledo,39.8624,-4.01125,ES
Rabade,43.121299,-7.624821,ES
Bandeira,42.746485,-8.304576,ES
Baamonde,43.173337,-7.756324,ES
Parga,43.163764,-7.837029,ES
Ourense-San Francisco,42.332603,-7.860662,ES
Freginals,40.6722143,0.520465800000011,ES
Teixeiro,43.141525,-8.037614,ES
Curtis,43.127304,-8.143013,ES
Valencia de Alcantara,39.427119,-7.23085,ES
Sestao-Urbinaga,NA,NA,ES
Ormaiztegui,NA,NA,ES
Mingorria,40.751886,-4.66546,ES
Velayos,NA,NA,ES
Sanchidrian,40.89347,-4.58132,ES
Londono,NA,NA,ES
Adanero (Munoz),40.94487,-4.60561,ES
Medellin,NA,NA,ES
Aranda de Duero-Montecillo,41.667778,-3.695836,ES
Segovia Estacion,40.934062,-4.11332,ES
Guarena,38.896989,-6.128719,ES
Ataquines,41.187441,-4.77191,ES
Gomeznarro,41.25036,-4.8432,ES
Alcolea de Cordoba,NA,NA,ES
Fuentes de Onoro,NA,NA,ES
Manzanares,39.005974,-3.370559,ES
Matapozuelos,41.423174,-4.80112,ES
San Julian de Musques,NA,NA,ES
Hernani,43.2725,-1.96377,ES
Pasaia,43.318927,-1.917111,ES
Montilla,37.5788,-4.63414,ES
Puente Genil Estacion,37.395966,-4.75308,ES
La Roda de Andalucia,37.2079,-4.77525,ES
Ronda,36.748531,-5.162127,ES
San Roque - La Linea,36.213718,-5.432298,ES
Moreda,37.43075,-3.310987,ES
Valencia de Alcantara,NA,NA,ES
Cabezon del Pisuerga,41.737239,-4.651531,ES
La Encina,38.765162,-0.953971,ES
Irun,43.339404,-1.80115,ES
Vinaros,40.472448,0.456741,ES
Salou,41.077502,1.129296,ES
Teruel,40.340998,-1.110194,ES
Los Rosales,37.589427,-5.7254,ES
Calatorao,41.530882,-1.357146,ES
La Rinconada,37.48,-5.94009,ES
Bonete,NA,NA,ES
Alpera,NA,NA,ES
Grisen,41.74532,-1.165694,ES
Prat de Llobregat,41.331169,2.090261,ES
Montcada i Reixac - Manresa,41.483887,2.185412,ES
Sitges,41.239182,1.8096,ES
Lleida,41.620775,0.63302,ES
Macanet - Massanes,41.775874,2.674389,ES
Llanca,42.36669,3.149101,ES
San Vicente de Calders,NA,NA,ES
Utebo,NA,NA,ES
Santiago de Compostela,42.870518,-8.544687,ES
Sevilla San Bernardo,37.377596,-5.979552,ES
Caudete,38.716351,-0.959535,ES
Villena,38.632598,-0.867557,ES
Sax,38.544963,-0.813937,ES
Elda Petrer,38.484834,-0.800848,ES
Monovar Pinoso,NA,NA,ES
Novelda Aspe,38.407329,-0.777674,ES
Monforte del Cid,NA,NA,ES
Agost,NA,NA,ES
San Vicente de Raspeig,NA,NA,ES
Sant Vicenc de Calders,41.186111,1.524167,ES
Villaverde Bajo,40.352873,-3.683779,ES
Pedro Abad,37.9671051,-4.455518,ES
Manzanares,NA,NA,ES
Orense,NA,NA,ES
Sevilla Plaza de Armas,NA,NA,ES
Algeciras,36.12672,-5.450995,ES
Sagunt,39.675779,-0.271564,ES
Sabadell Sud,41.528725,2.105183,ES
Puigcerda,42.4316,1.92819,ES
Antequera Santa Ana,37.070813,-4.720037,ES
Merida,38.921548,-6.343157,ES
Mataro,41.533375,2.445464,ES
Malgrat,NA,NA,ES
Logrono,42.457778,-2.440833,ES
La Molina,NA,NA,ES
Jaca,42.578261,-0.538759,ES
Huesca,42.133178,-0.409953,ES
Huelva,37.252655,-6.950675,ES
Gijon-Sanz Crespo,43.537697,-5.675932,ES
Elx Parc,38.269209,-0.706462,ES
Cullera,NA,NA,ES
Cartagena,37.605023,-0.974763,ES
Cambrils,41.07005,1.052888,ES
Benicasim,NA,NA,ES
Canfranc,42.751258,-0.513805,ES
Sevilla Santa Justa,NA,NA,ES
Aguilas,37.410011,-1.57286,ES
Malaga-Maria Zambrano,36.711819,-4.43214,ES
Aviles,43.5612,-5.9228,ES
Ayamonte,37.21667,-7.4,ES
Ciudad Real,38.985029,-3.912914,ES
Gandia,38.970503,-0.180566,ES
Guillarei,42.065669,-8.622264,ES
Manresa,41.720231,1.826482,ES
Orihuela-Miguel Hernandez,38.077739,-0.944541,ES
Pineda,NA,NA,ES
Pontevedra,42.421534,-8.635496,ES
Puertollano,38.691199,-4.111989,ES
Santander Estacion,43.458287,-3.811435,ES
Talavera de la Reina,39.970778,-4.826919,ES
Torrelavega,43.327556,-4.042422,ES
